Sales Code,Description,USD,Ngultrum
P005-S,"Large Phurba pendant, Three faces, 82mm, silver, with chain 70cm 17.5 grams", $ 356.16 ,"26,000"
P005-YG14,"Phurba Pendant, Size 82mm, just pendant: 14k Solid Gold 19.9g"," $ 3,000.00 ","219,000"
P005-YG18,"Phurba Pendant, Size 82mm, just pendant: 18k solid gold, 25.6g:"," $ 3,972.60 ","290,000"
P005-YG18-DIA1,"Phurba Pendant, Size 82mm, just pendant 18k Solid Gold, 18 diamonds (.31cts) 22.59g"," $ 7,547.95 ","551,000"
P005-YG18-DIA2,"Phurba Pendant, Size 82mm, just pendant 18k full diamond set 25.28g (1.86cts)"," $ 10,712.33 ","782,000"
P016- YG14,"Om Syllable Pendant 14k gold, .343 cts white diamonds, pendant only, 1.56g", $ 835.62 ,"61,000"
P018-RGP,"Sanskrit HRI syllable in a semi circle. Silver, rose gold plated. With chain.", $ 95.89 ,"7,000"
P019-S,"Infinity knot pendant Silver, with chain", $ 82.19 ,6000
P019-YG14,"Infinity knot pendant 14k Solid yellow gold, pendant only - 3.75g", $ 643.84 ,"47,000"
P051-YG14,"Endless Knot Pendant, Small, Yellow Gold 14k With Chain, 3.94g", $ 671.23 ,"49,000"
P051-WG18,"Endless Knot Pendant, Small, White Gold 18k, With Chain 50cm, 5.07g"," $ 1,095.89 ","80,000"
P034-YG14-DIA,Endless Knot Diamond Pendant 14k Yellow Gold 2.15.g .26cts Diamonds, $ 972.60 ,"71,000"
P034-WG14-DIA,Endless Knot Diamond Pendant 14k White Gold 2.15.g .26cts Diamonds," $ 1,000.00 ","73,000"
P034-RG14-DIA,Endless Knot Diamond Pendant 14k Rose Gold 2.15.g .26cts Diamonds," $ 1,000.00 ","73,000"
P069-S,"Three Dimensional Endless knot pendant studded with CZ diamonds, with chain", $ 390.41 ,"28,500"
P020-S,"New HUNG syllable pendant, silver, white rhodium, 44mm, with chain", $ 82.19 ,6000
P020-YG14,"New hung syllable pendant solid gold, size 44mm, pendant only 14k Yellow Gold - 3.82g", $ 602.74 ,"44,000"
P021-YG18,"New HUNG syllable pendant, solid gold, size 35mm, pendant only: 18k yellow gold 2.70g", $ 506.85 ,"37,000"
P021-YG14-CH,"New HUNG syllable pendant, solid 14k yellow gold, size 35mm, With 45cm Chain, 4.44g", $ 753.42 ,"55,000"
P021-WG14,"New HUNG syllable pendant, solid 14k white gold, size 35mm, With 45cm Chain, 4.48g", $ 712.33 ,"52,000"
P021-PT,"New HUNG syllable pendant, solid Platinum, size 35mm, Pendant only, 3.89"," $ 1,164.38 ","85,000"
P057-WG14-DIA,"Hung Syllable Pendant Diamond 0.41 CTS, Small WG14 With Chain"," $ 1,438.36 ","105,000"
P056-WG18-BS,"New Hung Syllable Pendant, Natural Blue Sapphires, 43mm, with chain 18k White Gold - 5.35g"," $ 1,643.84 ","120,000"
P040-YG18,"Hung Syllable Pendant XXL Solid 18k Yellow Gold 7.63g 50mm, 1.191cts"," $ 2,726.03 ","199,000"
P024-S,"Large Silver Vajra Pendant, with chain, Hung syllable engraved", $ 493.15 ,"36,000"
P025-YG18-3C,"Large 18K Solid Gold Vajra Pendant, Natural Red Rubies, white diamonds, blue sapphires, 21.6g"," $ 4,246.58 ","310,000"
P026-S,Large Bell pendant Silver with chain, $ 246.58 ,"18,000"
P026-YG18,"18K Yellow Gold Gold 8.31g, Diamond: .025cts, pendant only"," $ 1,986.30 ","145,000"
P028-YG14,Bell pendant Small Size pendant only 14k Yellow Gold 3.18g, $ 698.63 ,"51,000"
P029-YG18,"Vajra Pendant, Small Size. pendant only 18 karat yellow gold, 3.36g:", $ 767.12 ,"56,000"
P027-S,"Vajra Pendant, Medium Size. Silver, with chain 62-45cm", $ 205.48 ,"15,000"
P027-YG14,"Vajra Pendant, Medium Size. pendant only 14k yellow gold 5.77g"," $ 1,123.29 ","82,000"
P027-YG18,"Vajra Pendant, Medium Size. 18k gold, 7.00"," $ 1,575.34 ","115,000"
P027-YG18-DIA,"Vajra Pendant, Medium .076cts white Diamonds 18k Yellow Gold 7.94g"," $ 1,479.45 ","108,000"
P030-S,"Melong Pendant, Silver, CZ, With Chain", $ 198.63 ,"14,500"
P030-YG18,"Melong (Mirror), 12 white diamonds, .06cts 18K Yellow Gold 9.8g"," $ 1,780.82 ","130,000"
P031F-YG14-DIA,"Single Auspicious Victory Banner, (or any other of the 8 signs), 14Karat white & yellow gold 2.62g Diamonds 0.11 CTS. Pendant Only", $ 712.33 ,"52,000"
P031F,"Single Auspicious Pendant, Endless Knot, Gold Plated, With chain", $ 102.74 ,"7,500"
P031A-S,"Single Auspicious Pendant, Parasol, Gold Plated, With chain", $ 102.74 ,"7,500"
P031B-S,"Single Auspicious Pendant, Pair Of Golden Fish, Gold Plated, With chain", $ 102.74 ,"7,500"
P031C-S,"Single Auspicious Pendant, Vase, Gold Plated, With chain", $ 102.74 ,"7,500"
P031D-S,"Single Auspicious Pendant, Lotus, Gold Plated, With chain", $ 102.74 ,"7,500"
P031E-S,"Single Auspicious Pendant, Right Turning Conch, Gold Plated, With chain", $ 102.74 ,"7,500"
P031G-S,"Single Auspicious Pendant, Victory Banner, Gold Plated, With chain", $ 102.74 ,"7,500"
P031H-S,"Single Auspicious Pendant, Dharma Wheel, Gold Plated, With chain", $ 102.74 ,"7,500"
P032-14K-MOP,"Laughing Skull Pendant, Gold, Mother Of Pearl 3.2g, .128cts", $ 767.12 ,"56,000"
P033-TT14-MOP,"Clover shaped vajra pendant, white gold, yellow gold, diamonds 3.43g, .153cts", $ 821.92 ,"60,000"
P035-S,Silver Tam Syllable Pendant With Chain TASHI MANNOX DESIGN, $ 82.19 ,"6,000"
P035-YG14,"Solid 14K Gold Tam syllable pendant, Pendant only 4.32 grams", $ 739.73 ,"54,000"
P012-YG14,"Tam syllable pendant small size, 24.5mm, Yellow 14k gold, 1.21g", $ 239.73 ,"17,500"
P041-CZ-S,"Tam Syllable Pendant, Silver, CZ Diamonds, With Chain", $ 205.48 ,"15,000"
P042-WG14-DIA,"Tam syllable Pendant White Gold 14k, Diamonds, .262 CTS. With Chain, 1.2g", $ 671.23 ,"49,000"
P042-YG14-DIA,"Tam Syllable Pendant YG14, Diamonds, .25cts, Pendant only, 1.18g", $ 643.84 ,"47,000"
P038-S,New Tashi Mannox OM AH HUNG/ Vajra Dogtag pendant, $ 191.78 ,"14,000"
P044-YGP,"Tsipatta/ Hung Syllable Gau, openable, Silver, Gold Plated, With Chain 21.68g", $ 547.95 ,"40,000"
P045-YGP,"Tara Mantra Pendant Green Agate Tashi Mannox Design silver, gold plated. 34.19g", $ 630.14 ,"46,000"
P055-S,"Double Dorje Pendant, Silver, CZ Diamond, With Chain", $ 109.59 ,"8,000"
P055-YG14,"Double Dorje Pendant, Yellow 14K Gold, 2.72g, central diamond .029cts, pendant only", $ 479.45 ,"35,000"
