salesCode,description,usd,ngultrum
4022A.6G,Oval Malaya Aquamarine Ring 14K White Gold gold 2.54g,576,42000
B002-S,"One Laughing Skull Silver Macrame Bracelet, 2.65g",96,7000
B002-YG18,"One Laughing Skull Yellow Gold 18k, Black Diamonds, Macrame Bracelet, 6.99g",1329,97000
B003-S,"Five Laughing Skulls Silver Macrame Bracelet, black diamonds, adjustable",288,21000
B003-YG18,"Five Laughing Skulls, Macrame Bracelet 15 black diamonds .10cts 18k solid gold 22.22g",4247,310000
B004-S,"Small single bead, double dorje macrame bracelet, silver, CZ",96,7000
B004-YGP,"Small Double Dorje Single Bead Macrame Bracelet, Silver Gold Plated",110,8000
B005-S,"Small five bead, double dorje macrame bracelet, silver",411,30000
B005-YGP,"Small five bead, double dorje macrame bracelet, silver gold plated",439,32000
B006A-S,Double Dorje (BIG) Macrame Bracelet Silver,110,
B006C-S,Endless Knot (BIG) Macrame Bracelet Silver,110,
B007-YGP,"Eight Auspicious Symbols Bracelet, Silver, Gold plating 14.5g",398,29000
B008-S,"Silver, Oxidized Vajra Clasp Black Leather Bracelet",151,11000
B008B-S-BLK,"Silver Polished Vajra Clasp Bracelet, sting-ray leather, Noir color",247,18000
B008B-S-SNOW,"Silver Polished Vajra Clasp Bracelet, sting-ray leather, Natural color",247,18000
B008B-TT-BLK,"Silver Oxidized Vajra Clasp Bracelet what 18k solid gold vajra, sting-ray leather, Noir color",631,46000
B008B-TT-SNOW,"Silver Oxidized Vajra Clasp Bracelet what 18k solid gold vajra, sting-ray leather, SNOW color",590,43000
B009-RG14,Rose 14k Gold leather bracelet 14k rose gold 22.36g,2603,190000
B009-S-BLU,"Silver, Polished Vajra Clasp, Blue Leather Bracelet",151,11000
B009-S-CHAIN,Silver Polished Chain Vajra Clasp Bracelet,343,25000
B009-S-PNK,"Silver, Polished Vajra Clasp, Pink Leather Bracelet",151,11000
B009-S-TAN,"Silver, Polished Vajra Clasp Tan Leather Bracelet",151,11000
B009-S-TAN-OX,"Silver, Oxidized Vajra Clasp Tan Leather Bracelet",151,11000
B009-S-WHITE,"Silver, Polished Vajra Clasp, White Leather Bracelet",151,11000
B009-YG14,14k Yellow Gold Black Leather Vajra Clasp Bracelet 14k 31.6g,3562,260000
B010-S,Endless Knot Bracelet Silver 3.73g,144,10500
B010-S-CZ,Endless Knot Bracelet Silver 3.73g,144,
B010-YG18,"Endless Knot New Bracelet, YG18, 19cm, 4.64g",877,64000
B010-YG18-DIA,"Endless Knot New Bracelet, YG18 .20cts diamonds, 5.12g",1083,79000
B013-S,"Vajra Chain Bracelet, Silver, Medium, Flat 3 Prongs, 19cm",117,8500
B013-YG14,"Vajra Chain Bracelet, Yellow Gold 14K, Medium, Flat 3 Prongs, 19cm, 6.64g",1137,
B013-YGP,"Vajra Chain Bracelet, Yellow Gold 14K, Medium, Flat 3 Prongs, 19cm, 6.64g (Gold plated)",137,10000
B014-S-PQ,"Purple Milk Quartz Cabochon Bracelet, 5.39cts, CZ 0.23",192,14000
B015A-S,"Continuous Vajras Chain Bracelet, Silver, 19cm (Female Size)",165,12000
B015B-S,"Continuous Vajras Chain Bracelet, Silver, 23cm (male size)",220,16000
B016-S,"Endless Knot Chain Adjustable Bracelet, Silver 4.71g",69,5000
BA001-S,Infinity edges bangle Silver 4.62g,124,9000
BA001-YG14,"Infinity Edges Bangle, Solid 14k yellow gold 5.5g",822,60000
BA001-YG18,Infinity Edges Bangle Solid 18k yellow gold 6.4g,1083,
BA002-S,Infinity in middle stainless bangle Silver,110,8000
BA002-YG14,"Infinity in middle stainless bangle , Solid 14k Yellow gold, 5.2g",672,49000
BA002-YGP,"Infinity in middle stainless bangle , Yellow Gold Plated",124,9000
BA003-S,"Solid “Dobchu” Vajra bangle silver 37.5g, clasp",302,22000
BA004-S,"Endless Knot bangle, Silver, smaller 13.89g",302,22000
BA004-YG18,Eternal Knot 18k yellow gold bangle Mid Size 21.28g,4055,296000
BA005-S,"Vajra Bangle Silver, CZ 18.59g, regular size",411,30000
BA005-S-CZ,"Vajra Bangle Silver, CZ 18.59g, regular size (Size L, 23.27g: 31,000)",411,
BA005-YGP,"Vajra Bangle Gold Plated, CZ 19.14g",439,32000
BA005-YGP-CZ,"Vajra Bangle Gold Plated, CZ 19.14g (Size L, 23.69g: 33,000)",439,
BA007-S,"Flexible Double skull bangle black diamonds, Sterling Silver",261,19000
BA007-S-BD,"Flexible Double skull bangle black diamonds, Sterling Silver",261,
BR001-TT,"Eight Auspicious Symbols Brooch, Round, Silver Half Gold Plated",274,
BR001-YGP,"Eight Auspicious Symbols Brooch, Round, Silver Gold Plated 21.3g",274,20000
BR002-YGP,"Eight Auspicious Symbols Brooch, Elongated, Silver Gold Plated 17.7g",302,22000
BR003-S,"Tam Syllable Brooch, Larger, Silver, 46mm 5.6g",110,8000
BR003-YGP,"Tam Syllable Brooch, Larger, Yellow Gold Plated, 46mm 5.5g",124,9000
BR003B-S,"Tam Syllable Brooch, Smaller, Silver, 37mm 2.7g",69,5000
BR003B-YGP,"Tam Syllable Brooch, Smaller, Gold Plated, 37mm 2.7g",83,6000
BR004-S,"Hung Syllable Brooch, Larger, 53mm, Silver 7.6g",124,9000
BR004-YGP,"Hung Syllable Brooch, 53mm, Larger, Yellow Gold Plated, 7.6g",137,10000
BR004B-S,"Hung Syllable Brooch, Smaller, Silver , 37mm 3.8g",90,6500
BR004B-YGP,"Hung Syllable Brooch, Smaller, Gold Plated (Tashi Mannox Design)",117,
BR005,"Dhi Syllable Brooch, Silver, Larger, 55mm 10.2g",136.99,10000
BR005-S,"Dhi Syllable Brooch, Silver, Larger, 55mm 10.2g",137,
BR005-YGP,"Dhi Syllable Brooch, Gold Plated, Larger, 55mm 10.37g",151,11000
BR005B-S,"Dhi Syllable Brooch, Silver Smaller, 35mm",90,6500
BR005B-YGP,"Dhi Syllable Brooch, Gold Plated, Smaller, 35mm",103,7500
BR006-RGP,"Hri Syllable Brooch Larger Rose Gold Plated, 43mm 9.19g",137,10000
BR006-S,"Hri Syllable Brooch Larger, Silver, 43mm",124,9000
BR006-YGP,"Hri Syllable Brooch Larger Gold Plated, 43mm, 9.21g",137,10000
BR006B-S,"Hri Syllable Brooch Silver, Smaller, 36mm 3.9g",76,5500
