sku,code,name,category,material,qty,cost,retail,images,productIds
4022A.6G,4022A.6G,Oval Malaya Aquamarine Ring 14K White Gold gold 2.54g,Rings,White Gold,,,575.34,,
4473A,4473A,,Accessories,,,,,4,
31748.8.0,31748.8.0,,Accessories,,,,,4,
B002-S,B002,"One Laughing Skull Silver Macrame Bracelet, 2.65g",Bracelets,Silver,2,16.35,95.89,5,
B002-YG18,B002,"One Laughing Skull Yellow Gold 18k, Black Diamonds, Macrame Bracelet, 6.99g",Bracelets,18k Gold,,,1328.77,5,
B003-S,B003,"Five Laughing Skulls Silver Macrame Bracelet, black diamonds, adjustable",Bracelets,Silver,1,60.23,287.67,8,
B003-YG14,B003,,Bracelets,14k Gold,,,,4,
B003-YG18,B003,"Five Laughing Skulls, Macrame Bracelet 15 black diamonds .10cts 18k solid gold 22.22g",Bracelets,18k Gold,,,4246.58,3,
B004-S,B004,"Small single bead, double dorje macrame bracelet, silver, CZ",Bracelets,Silver,1,17.45,95.89,4,
B004-YG14,B004,,Bracelets,14k Gold,,,,4,
B004-YG18,B004,Eternal Knot 18k yellow gold bangle Mid Size 21.28g,Bracelets,18k Gold,,,4054.79,5,
B004-YGP,B004,"Small Double Dorje Single Bead Macrame Bracelet, Silver Gold Plated",Bracelets,Gold Plated,,,109.59,4,
B005-S,B005,"Small five bead, double dorje macrame bracelet, silver",Bracelets,Silver,1,67.62,410.96,5,
B005-YGP,B005,"Small five bead, double dorje macrame bracelet, silver gold plated",Bracelets,Gold Plated,,,438.36,8,
B006-A-S,B006,,Bracelets,Silver,,,,5,
B006-C-S,B006,,Bracelets,Silver,,,,5,
B007-YGP,B007,"Eight Auspicious Symbols Bracelet, Silver, Gold plating 14.5g",Bracelets,Gold Plated,2,,397.26,3,
B008-S,B008,"Silver, Oxidized Vajra Clasp Black Leather Bracelet",Bracelets,Silver,,,150.68,,p011
B008B-S-BLK,B008B,"Silver Polished Vajra Clasp Bracelet, sting-ray leather, Noir color",Bracelets,Silver,,,246.58,,
B008B-S-SNOW,B008B,"Silver Polished Vajra Clasp Bracelet, sting-ray leather, Natural color",Bracelets,Silver,,,246.58,,
